Material;Packing Type;Numerator;Denom.;Length;Length;Width;Width;Height;Height;Volume;Volume;Gross weight;Gross weight;net weight;net weight
7000912D;PLR;576;1;1 200,00;MM;800;MM;196;MM;188,16;CDM;26 800,00;G;23 256,00;G
7000912D;SU;6;1;80;MM;97;MM;185;MM;1,436;CDM;260;G;242,25;G
7000914D;CU;1;1;5;MM;60;MM;185;MM;0,056;CDM;21,667;G;20,937;G
7000914D;DU;144;1;380;MM;290;MM;200;MM;22,04;CDM;3 350,00;G;3 014,93;G
7000914D;PAL;8 064;1;1 200,00;MM;800;MM;1 550,00;MM;1 488,00;CDM;212 600,00;G;168 835,97;G
7000914D;PC;1;1;0;;0;;0;;0;CDM;0;;20,937;G
7000914D;PLR;1 152;1;1 200,00;MM;800;MM;200;MM;192;CDM;26 800,00;G;24 119,42;G
7000914D;SU;6;1;62;MM;70;MM;187;MM;0,812;CDM;130;G;125,622;G
7000916D;CU;1;1;5;MM;60;MM;185;MM;0,056;CDM;15;G;7;G
7000916D;DU;140;1;395;MM;265;MM;205;MM;21,458;CDM;3 203,00;G;980;G
7000916D;PAL;8 820;1;1 200,00;MM;800;MM;1 585,00;MM;1 521,60;CDM;225 789,00;G;61 740,00;G
7000916D;PC;1;1;0;;0;;0;;0;CDM;15;G;7;G
7000916D;PLR;1 260;1;1 200,00;MM;800;MM;205;MM;196,8;CDM;28 827,00;G;8 820,00;G
