Material;Packing Type;Numerator;Denom.;Length;Length;Width;Width;Height;Height;Volume;Volume;Gross weight;Gross weight;net weight;net weight
70981626;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;200;G
70981629;CU;1;1;1 163,00;MM;8;MM;1 575,00;MM;13,394;CDM;1 111,00;G;1 111,00;G
70981629;PAL;500;1;0;;0;;0;;0;;0;;555 500,00;G
70981629;PC;1;1;1 163,00;MM;8;MM;1 575,00;MM;13,86;CDM;1 111,00;G;1 111,00;G
70981629;SU;1;1;1 163,00;MM;8;MM;1 575,00;MM;13,86;CDM;1 111,00;G;1 111,00;G
70981631;CU;1;1;300;MM;60;MM;45;MM;0,81;CDM;160;G;160;G
70981631;PAL;140;1;0;;0;;0;;0;;0;;22 400,00;G
70981631;PC;1;1;300;MM;60;MM;45;MM;0,81;CDM;160;G;160;G
70981631;SU;10;1;0;;0;;0;;0;CDM;0;;1 600,00;G
70981632;CU;1;1;360;MM;115;MM;145;MM;6,003;CDM;1 314,00;G;1 100,00;G
70981632;PAL;140;1;0;;0;;0;;0;;0;;154 000,00;G
70981632;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;1 100,00;G
70981632;SU;10;1;0;MM;0;MM;0;MM;0;CDM;0;G;11 000,00;G
70981634;CU;1;1;1,16;MM;8;MM;1,58;MM;0;CDM;1,11;G;1,11;G
70981634;PAL;500;1;0;;0;;0;;0;;0;;555;G
70981634;PC;1;1;1,16;MM;8;MM;1,58;MM;0;CDM;1,11;G;1,11;G
70981634;SU;1;1;1,16;MM;8;MM;1,58;MM;0;CDM;1,11;G;1,11;G
70981636;CU;1;1;0;MM;0;MM;0;MM;0;CDM;700;G;700;G
70981636;PC;1;1;0;;0;;0;;0;CDM;0;;700;G
70981636;SU;1;1;0;;0;;0;;0;CDM;0;;700;G
70981637;CU;1;1;0;MM;0;MM;0;MM;0;CDM;700;G;700;G
70981637;PC;1;1;0;;0;;0;;0;CDM;0;;700;G
70981637;SU;1;1;0;;0;;0;;0;CDM;0;;700;G
70981638;CU;1;1;770;MM;390;MM;1 750,00;MM;525,525;CDM;39 000,00;G;39 000,00;G
70981638;PAL;500;1;0;;0;;0;;0;;0;;19 500 000,00;G
70981638;PC;1;1;770;MM;390;MM;1 750,00;MM;525,525;CDM;0;G;39 000,00;G
70981638;SU;1;1;0;MM;0;MM;0;MM;0;CDM;39 000,00;G;39 000,00;G
70981639;CU;1;1;0;;0;;0;;0;CDM;2,2;G;2,2;G
70981639;PC;1;1;0;;0;;0;;0;CDM;0;;2,2;G
70981639;SU;1;1;0;;0;;0;;0;;0;;2,2;G
70981643;CU;1;1;0;;0;;0;;0;CDM;2,2;G;2,2;G
70981643;PC;1;1;0;;0;;0;;0;CDM;0;;2,2;G
70981643;SU;1;1;0;;0;;0;;0;;0;;2,2;G
70981644;CU;1;1;1 163,00;MM;8;MM;1 575,00;MM;14,654;CDM;1 111,00;G;1 111,00;G
70981644;PAL;500;1;0;;0;;0;;0;;0;;555 500,00;G
70981644;PC;1;1;1 163,00;MM;8;MM;1 575,00;MM;14,654;CDM;1 111,00;G;1 111,00;G
70981644;SU;1;1;1 163,00;MM;8;MM;1 575,00;MM;14,654;CDM;1 111,00;G;1 111,00;G
70981645;CU;1;1;1 063,00;MM;8;MM;1 575,00;MM;13,394;CDM;1 111,00;G;1 111,00;G
70981645;PAL;500;1;0;;0;;0;;0;;0;;555 500,00;G
70981645;PC;1;1;1 063,00;MM;8;MM;1 575,00;MM;13,86;CDM;1 111,00;G;1 111,00;G
70981645;SU;1;1;1 063,00;MM;8;MM;1 575,00;MM;13,86;CDM;1 111,00;G;1 111,00;G
70981646;CU;1;1;1 163,00;MM;8;MM;1 575,00;MM;14,654;CDM;1 111,00;G;1 111,00;G
70981646;PAL;500;1;0;;0;;0;;0;;0;;555 500,00;G
70981646;PC;1;1;1 163,00;MM;8;MM;1 575,00;MM;14,654;CDM;1 111,00;G;1 111,00;G
70981646;SU;1;1;1 163,00;MM;8;MM;1 575,00;MM;14,654;CDM;1 111,00;G;1 111,00;G
70981647;CU;1;1;1 063,00;MM;8;MM;1 575,00;MM;13,394;CDM;1 100,00;G;1 100,00;G
70981647;PAL;500;1;0;;0;;0;;0;;0;;550 000,00;G
70981647;PC;1;1;1 063,00;MM;8;MM;1 575,00;MM;13,86;CDM;1 100,00;G;1 100,00;G
70981647;SU;1;1;1 063,00;MM;8;MM;1 575,00;MM;13,86;CDM;1 100,00;G;1 100,00;G
70981648;CU;1;1;1 063,00;MM;8;MM;1 575,00;MM;13,394;CDM;1 100,00;G;1 100,00;G
70981648;PAL;500;1;0;;0;;0;;0;;0;;550 000,00;G
70981648;PC;1;1;1 063,00;MM;8;MM;1 575,00;MM;13,86;CDM;1 100,00;G;1 100,00;G
70981648;SU;1;1;1 063,00;MM;8;MM;1 575,00;MM;13,86;CDM;1 100,00;G;1 100,00;G
70981649;CU;1;1;380;MM;3;MM;1 540,00;MM;1,756;CDM;500;G;500;G
70981649;PAL;500;1;0;;0;;0;;0;;0;;250 000,00;G
70981649;PC;1;1;380;MM;3;MM;1 540,00;MM;1,756;CDM;500;G;500;G
70981649;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;500;G
70981650;CU;1;1;0;;0;;0;;0;CDM;2,2;G;2,2;G
70981650;PC;1;1;0;;0;;0;;0;CDM;0;;2,2;G
70981650;SU;1;1;0;;0;;0;;0;;0;;2,2;G
70981651;CU;1;1;0;;0;;0;;0;CDM;2,2;G;2,2;G
70981651;PC;1;1;0;;0;;0;;0;CDM;0;;2,2;G
70981651;SU;1;1;0;;0;;0;;0;;0;;2,2;G
70981652;CU;1;1;530;MM;380;MM;330;MM;525,525;CDM;500;G;500;G
70981652;PAL;500;1;0;;0;;0;;0;;0;;250 000,00;G
70981652;PC;1;1;530;MM;380;MM;330;MM;525,525;CDM;0;G;500;G
70981652;SU;1;1;0;MM;0;MM;0;MM;0;CDM;500;G;500;G
70981653;CU;1;1;160;MM;8;MM;120;MM;1,756;CDM;1,1;G;1,1;G
70981653;PAL;500;1;0;;0;;0;;0;;0;;550;G
70981653;PC;1;1;160;MM;8;MM;120;MM;1,756;CDM;1,1;G;1,1;G
70981653;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;1,1;G
70981654;CU;1;1;438;MM;106;MM;68;MM;3,157;CDM;747;G;553;G
70981654;PAL;1 000;1;0;;0;;0;;0;;0;;553 000,00;G
70981654;PC;1;1;438;MM;106;MM;68;MM;3,157;CDM;747;G;553;G
70981654;SU;1;1;0;;0;;0;;0;CDM;0;;553;G
70981656;CU;1;1;1 163,00;MM;8;MM;1,58;MM;1,756;CDM;1,1;G;1,1;G
70981656;PAL;500;1;0;;0;;0;;0;;0;;550;G
70981656;PC;1;1;1 163,00;MM;8;MM;1,58;MM;1,756;CDM;1,1;G;1,1;G
70981656;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;1,1;G
70981657;CU;1;1;400;MM;300;MM;300;MM;36;CDM;5 600,00;G;5 600,00;G
70981657;PAL;40;1;0;;0;;0;;0;;0;;224 000,00;G
70981657;PC;1;1;400;MM;300;MM;300;MM;36;CDM;5 600,00;G;5 600,00;G
70981657;SU;1;1;400;MM;300;MM;300;MM;36;CDM;5 600,00;G;5 600,00;G
70981658;CU;1;1;400;MM;300;MM;300;MM;1,756;CDM;4 500,00;G;4 500,00;G
70981658;PAL;40;1;0;;0;;0;;0;;0;;180 000,00;G
70981658;PC;1;1;400;MM;300;MM;300;MM;1,756;CDM;4 500,00;G;4 500,00;G
70981658;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;4 500,00;G
70981659;CU;1;1;1 137,00;MM;1 570,00;MM;3;MM;1,756;CDM;6 000,00;G;6 000,00;G
70981659;PAL;300;1;0;;0;;0;;0;;0;;1 800 000,00;G
70981659;PC;1;1;1 137,00;MM;1 570,00;MM;3;MM;1,756;CDM;6 000,00;G;6 000,00;G
70981659;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;6 000,00;G
70981662;CU;1;1;1 137,00;MM;1 570,00;MM;3;MM;1,756;CDM;1 000,00;G;1 000,00;G
70981662;PAL;300;1;0;;0;;0;;0;;0;;300 000,00;G
70981662;PC;1;1;1 137,00;MM;1 570,00;MM;3;MM;1,756;CDM;1 000,00;G;1 000,00;G
70981662;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;1 000,00;G
70981663;CU;1;1;1 137,00;MM;1 570,00;MM;3;MM;1,756;CDM;1 000,00;G;1 000,00;G
70981663;PAL;300;1;0;;0;;0;;0;;0;;300 000,00;G
70981663;PC;1;1;1 137,00;MM;1 570,00;MM;3;MM;1,756;CDM;1 000,00;G;1 000,00;G
70981663;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;1 000,00;G
70981664;CU;1;1;1 137,00;MM;1 570,00;MM;3;MM;1,756;CDM;1 000,00;G;1 000,00;G
70981664;PAL;300;1;0;;0;;0;;0;;0;;300 000,00;G
70981664;PC;1;1;1 137,00;MM;1 570,00;MM;3;MM;1,756;CDM;1 000,00;G;1 000,00;G
70981664;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;1 000,00;G
70981665;CU;1;1;600;MM;4;MM;1,617;MM;0,004;CDM;650;G;650;G
70981665;PAL;500;1;0;;0;;0;;0;;0;;325 000,00;G
70981665;PC;1;1;600;MM;4;MM;1,617;MM;0,004;CDM;650;G;650;G
70981665;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;650;G
70981666;CU;1;1;600;MM;4;MM;1,617;MM;0,004;CDM;650;G;650;G
70981666;PAL;500;1;0;;0;;0;;0;;0;;325 000,00;G
70981666;PC;1;1;600;MM;4;MM;1,617;MM;0,004;CDM;650;G;650;G
70981666;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;650;G
70981667;CU;1;1;600;MM;4;MM;1,617;MM;0,004;CDM;650;G;650;G
70981667;PAL;500;1;0;;0;;0;;0;;0;;325 000,00;G
70981667;PC;1;1;600;MM;4;MM;1,617;MM;0,004;CDM;650;G;650;G
70981667;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;650;G
70981670;CU;1;1;600;MM;4;MM;1,617;MM;0,004;CDM;650;G;650;G
70981670;PAL;200;1;0;;0;;0;;0;;0;;130 000,00;G
70981670;PC;1;1;600;MM;4;MM;1,617;MM;0,004;CDM;650;G;650;G
70981670;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;650;G
70981671;CU;1;1;600;MM;4;MM;1,617;MM;0,004;CDM;650;G;650;G
70981671;PAL;300;1;0;;0;;0;;0;;0;;195 000,00;G
70981671;PC;1;1;600;MM;4;MM;1,617;MM;0,004;CDM;650;G;650;G
70981671;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;650;G
70981672;CU;1;1;600;MM;4;MM;1,617;MM;0,004;CDM;650;G;650;G
70981672;PAL;200;1;0;;0;;0;;0;;0;;130 000,00;G
70981672;PC;1;1;600;MM;4;MM;1,617;MM;0,004;CDM;650;G;650;G
70981672;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;650;G
70981673;CU;1;1;0;MM;0;MM;0;MM;0;CDM;1,8;G;1,8;G
70981673;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;1,8;G
70981673;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;1,8;G
70981675;CU;1;1;1 063,00;MM;8;MM;1 575,00;MM;0,004;CDM;1 100,00;G;1 100,00;G
70981675;PAL;500;1;0;;0;;0;;0;;0;;550 000,00;G
70981675;PC;1;1;1 063,00;MM;8;MM;1 575,00;MM;0,004;CDM;1 100,00;G;1 100,00;G
70981675;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;1 100,00;G
70981676;CU;1;1;380;MM;3;MM;374;MM;3,157;CDM;122;G;122;G
70981676;PAL;500;1;0;;0;;0;;0;;0;;61 000,00;G
70981676;PC;1;1;380;MM;3;MM;374;MM;3,157;CDM;122;G;122;G
70981676;SU;1;1;0;;0;;0;;0;CDM;0;;122;G
70981677;CU;1;1;380;MM;3;MM;360;MM;3,157;CDM;90;G;90;G
70981677;PAL;500;1;0;;0;;0;;0;;0;;45 000,00;G
70981677;PC;1;1;380;MM;3;MM;360;MM;3,157;CDM;90;G;90;G
70981677;SU;1;1;0;;0;;0;;0;CDM;0;;90;G
70981700;CU;1;1;0;;0;;0;;0;CDM;2,2;G;2,2;G
70981700;PC;1;1;0;;0;;0;;0;CDM;0;;2,2;G
70981700;SU;1;1;0;;0;;0;;0;;0;;2,2;G
70981701;CU;1;1;0;;0;;0;;0;CDM;2,2;G;2,2;G
70981701;PC;1;1;0;;0;;0;;0;CDM;0;;2,2;G
70981701;SU;1;1;0;;0;;0;;0;;0;;2,2;G
70981702;CU;1;1;190;MM;125;MM;95;MM;2,256;CDM;200;G;140;G
70981702;PAL;300;1;0;MM;0;MM;0;MM;0;CDM;0;G;42 000,00;G
70981702;PC;1;1;190;MM;125;MM;95;MM;2,256;CDM;200;G;140;G
70981702;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;140;G
70981714;CU;1;1;915;MM;615;MM;95;MM;53,459;CDM;3 000,00;G;2 300,00;G
70981714;PAL;15;1;0;MM;0;MM;0;MM;0;CDM;0;G;34 500,00;G
70981714;PC;1;1;915;MM;615;MM;95;MM;53,459;CDM;3 000,00;G;2 300,00;G
70981714;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;2 300,00;G
70981715;CU;1;1;915;MM;615;MM;95;MM;53,459;CDM;3 000,00;G;2 300,00;G
70981715;PAL;15;1;0;MM;0;MM;0;MM;0;CDM;0;G;34 500,00;G
70981715;PC;1;1;915;MM;615;MM;95;MM;53,459;CDM;3 000,00;G;2 300,00;G
70981715;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;2 300,00;G
70981716;CU;1;1;915;MM;615;MM;95;MM;53,459;CDM;3 000,00;G;2 300,00;G
70981716;PAL;15;1;0;MM;0;MM;0;MM;0;CDM;0;G;34 500,00;G
70981716;PC;1;1;915;MM;615;MM;95;MM;53,459;CDM;3 000,00;G;2 300,00;G
70981716;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;2 300,00;G
70981717;CU;1;1;915;MM;615;MM;95;MM;53,459;CDM;3 000,00;G;2 300,00;G
70981717;PAL;15;1;0;MM;0;MM;0;MM;0;CDM;0;G;34 500,00;G
70981717;PC;1;1;915;MM;615;MM;95;MM;53,459;CDM;3 000,00;G;2 300,00;G
70981717;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;2 300,00;G
71505160;CU;1;1;106;MM;1;MM;111;MM;0,012;CDM;41;G;41;G
71505160;PAL;5 940;1;0;;0;;0;;0;;0;;243 540,00;G
71505160;PC;1;1;106;MM;1;MM;111;MM;0,012;CDM;41;G;41;G
71505160;SU;220;1;388;MM;259;MM;332;MM;33,363;CDM;11 500,00;G;9 020,00;G
7177072H;CU;1;1;180;MM;3;MM;18;MM;0,01;CDM;6;G;6;G
7177072H;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;6;G
7177072H;SU;100;1;206;MM;95;MM;115;MM;2,251;CDM;683;G;600;G
7177074H;CU;1;1;45;MM;28;MM;3;MM;0,004;CDM;2;G;2;G
7177074H;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;2;G
7177074H;SU;500;1;320;MM;227;MM;178;MM;12,93;CDM;976;G;1 000,00;G
7177567S;CU;1;1;32;MM;208;MM;255;MM;1,697;CDM;46;G;46;G
7177567S;PAL;3 000;1;0;;0;;0;;0;;0;;138 000,00;G
7177567S;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;46;G
7177567S;PLR;750;1;0;;0;;0;;0;;0;;34 500,00;G
7177567S;SU;250;1;0;;0;;0;;0;;0;;11 500,00;G
7177608S;CU;1;1;0;MM;0;MM;0;MM;0;CDM;64;G;64;G
7177608S;PAL;3 360;1;0;;0;;0;;0;;0;;215 040,00;G
7177608S;PC;1;1;0;;0;;0;;0;CDM;0;;64;G
7177608S;PLR;1;1;0;;0;;0;;0;;0;;64;G
7177608S;SU;1;1;0;;0;;0;;0;;0;;64;G
7177683S;CU;1;1;0;MM;0;MM;0;MM;0;CDM;64;G;64;G
7177683S;PC;1;1;0;;0;;0;;0;CDM;0;;64;G
7177683S;PLR;1;1;0;;0;;0;;0;;0;;64;G
7177683S;SU;1;1;0;;0;;0;;0;;0;;64;G
7177742U;CU;1;1;20;MM;280;MM;150;MM;0,84;CDM;20;G;15;G
7177742U;PAL;2 400;1;1 200,00;MM;800;MM;1 104,00;MM;1 059,84;CDM;72 000,00;G;36 000,00;G
7177742U;PC;1;1;20;MM;280;MM;150;MM;0,84;CDM;20;G;15;G
7177742U;PLR;1 200;1;940;MM;780;MM;480;MM;351,936;CDM;24 000,00;G;18 000,00;G
7177742U;PLU;3 360;1;1 200,00;MM;1 000,00;MM;1 110,00;MM;1 332,00;CDM;92 200,00;G;50 400,00;G
7177742U;PRU;1 680;1;1 090,00;MM;940;MM;480;MM;491,808;CDM;33 600,00;G;25 200,00;G
7177742U;SU;240;1;470;MM;310;MM;480;MM;69,936;CDM;4 800,00;G;3 600,00;G
7179584A;CU;1;1;0;MM;0;MM;0;MM;0;CDM;979;G;550;G
7179584A;PAL;70;1;1 200,00;MM;800;MM;1 760,00;MM;1 689,60;CDM;38,5;KG;38 500,00;G
7179584A;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;;550;G
7179584A;PLR;14;1;0;MM;0;MM;0;MM;0;CDM;0;;7 700,00;G
7179584A;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;550;G
71916050;CU;1;1;0;MM;0;MM;0;MM;0;CDM;3 010,00;G;2 260,00;G
71916050;PAL;40;1;1 200,00;MM;800;MM;1 000,00;MM;960;CDM;90,4;KG;90 400,00;G
71916050;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;2 260,00;G
71916050;PLR;5;1;0;MM;0;MM;0;MM;0;CDM;0;;11 300,00;G
71916050;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;2 260,00;G
71938650;CU;1;1;397;MM;300;MM;1 720,00;MM;204,852;CDM;15 700,00;G;11 950,00;G
71938650;PAL;8;1;1 200,00;MM;800;MM;1 870,00;MM;1 795,20;CDM;125 600,00;G;95 600,00;G
71938650;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;11 950,00;G
71938650;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;11 950,00;G
71938830;CU;1;1;520;MM;330;MM;1 500,00;MM;257,4;CDM;18 700,00;G;11 200,00;G
71938830;PAL;4;1;1 200,00;MM;800;MM;1 650,00;MM;1 584,00;CDM;74 800,00;G;44 800,00;G
71938830;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;11 200,00;G
71938830;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;11 200,00;G
71938840;CU;1;1;520;MM;330;MM;1 500,00;MM;257,4;CDM;21 700,00;G;14 200,00;G
71938840;PAL;4;1;1 200,00;MM;800;MM;1 650,00;MM;1 584,00;CDM;86 800,00;G;56 800,00;G
71938840;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;14 200,00;G
71938840;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;14 200,00;G
71939820;CU;1;1;520;MM;330;MM;1 500,00;MM;257,4;CDM;20 700,00;G;13 200,00;G
71939820;PAL;4;1;1 200,00;MM;800;MM;1 650,00;MM;1 584,00;CDM;82 800,00;G;52 800,00;G
71939820;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;13 200,00;G
71939820;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;13 200,00;G
71939910;CU;1;1;580;MM;360;MM;1 710,00;MM;357,048;CDM;28 700,00;G;0;G
71939910;PAL;4;1;1 200,00;MM;800;MM;1 860,00;MM;1 785,60;CDM;114 800,00;G;0;G
71939910;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
71939910;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
71939960;CU;1;1;520;MM;332;MM;1 490,00;MM;257,234;CDM;22 500,00;G;0;G
71939960;PAL;4;1;1 200,00;MM;800;MM;1 640,00;MM;1 574,40;CDM;90 000,00;G;0;G
71939960;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
71939960;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
71940020;CU;1;1;400;MM;300;MM;1 700,00;MM;204;CDM;18 750,00;G;0;G
71940020;PAL;8;1;1 200,00;MM;800;MM;1 850,00;MM;1 776,00;CDM;150 000,00;G;0;G
71940020;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
71940020;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
71940060;CU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
71940060;PAL;8;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
71940060;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
71940060;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
71940080;CU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
71940080;PAL;8;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
71940080;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
71940080;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
71940460;CU;1;1;180;MM;180;MM;1 040,00;MM;33,696;CDM;7 888,00;G;0;G
71940460;PAL;20;1;1 200,00;MM;800;MM;1 190,00;MM;1 142,40;CDM;157 760,00;G;0;G
71940460;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
71940460;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
71940870;CU;1;1;400;MM;400;MM;1 420,00;MM;227,2;CDM;20 000,00;G;0;G
71940870;PAL;6;1;1 200,00;MM;800;MM;1 570,00;MM;1 507,20;CDM;120 000,00;G;0;G
71940870;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
71940870;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
71940890;CU;1;1;590;MM;370;MM;1 710,00;MM;373,293;CDM;26 700,00;G;0;G
71940890;PAL;4;1;1 200,00;MM;800;MM;1 860,00;MM;1 785,60;CDM;106 800,00;G;0;G
71940890;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
71940890;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
71941470;CU;1;1;520;MM;330;MM;1 500,00;MM;257,4;CDM;14 764,00;G;0;G
71941470;PAL;4;1;1 200,00;MM;800;MM;1 650,00;MM;1 584,00;CDM;59 056,00;G;0;G
71941470;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
71941470;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
71941500;CU;1;1;600;MM;380;MM;1 700,00;MM;387,6;CDM;27 800,00;G;0;G
71941500;PAL;4;1;1 200,00;MM;800;MM;1 850,00;MM;1 776,00;CDM;111 200,00;G;0;G
71941500;PC;1;1;0;;0;;0;;0;CDM;0;;0;G
71941500;SU;1;1;0;;0;;0;;0;CDM;0;;0;G
71941570;CU;1;1;0;;0;;0;;0;CDM;0;G;0;G
71941570;PAL;4;1;0;;0;;0;;0;;0;;0;G
71941570;PC;1;1;0;;0;;0;;0;CDM;0;;0;G
71941570;SU;1;1;0;;0;;0;;0;CDM;0;;0;G
71941630;CU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
71941630;PAL;2;1;0;;0;;0;;0;;0;;0;G
71941630;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
71941630;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
71941680;CU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
71941680;PAL;20;1;0;;0;;0;;0;;0;;0;G
71941680;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
71941680;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
71941730;CU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
71941730;PAL;15;1;0;;0;;0;;0;;0;;0;G
71941730;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
71941730;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
71941770;CU;1;1;0;;0;;0;;0;CDM;0;G;0;G
71941770;PAL;8;1;0;;0;;0;;0;;0;;0;G
71941770;PC;1;1;0;;0;;0;;0;CDM;0;;0;G
71941770;SU;1;1;0;;0;;0;;0;CDM;0;;0;G
71941890;CU;1;1;0;;0;;0;;0;CDM;0;G;0;G
71941890;PAL;8;1;0;;0;;0;;0;;0;;0;G
71941890;PC;1;1;0;;0;;0;;0;CDM;0;;0;G
71941890;SU;1;1;0;;0;;0;;0;CDM;0;;0;G
71941950;CU;1;1;0;;0;;0;;0;CDM;0;G;0;G
71941950;PAL;8;1;0;;0;;0;;0;;0;;0;G
71941950;PC;1;1;0;;0;;0;;0;CDM;0;;0;G
71941950;SU;1;1;0;;0;;0;;0;CDM;0;;0;G
71941980;CU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
71941980;PAL;8;1;0;;0;;0;;0;;0;;0;G
71941980;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
71941980;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
71942020;CU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
71942020;PAL;4;1;0;;0;;0;;0;;0;;0;G
71942020;PC;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
71942020;SU;1;1;0;MM;0;MM;0;MM;0;CDM;0;G;0;G
71942100;CU;1;1;0;;0;;0;;0;CDM;0;G;0;G
71942100;PAL;4;1;0;;0;;0;;0;;0;;0;G
71942100;PC;1;1;0;;0;;0;;0;CDM;0;;0;G
71942100;SU;1;1;0;;0;;0;;0;CDM;0;;0;G
71942130;CU;1;1;0;;0;;0;;0;CDM;0;G;0;G
71942130;PAL;4;1;0;;0;;0;;0;;0;;0;G
71942130;PC;1;1;0;;0;;0;;0;CDM;0;;0;G
71942130;SU;1;1;0;;0;;0;;0;CDM;0;;0;G
71942140;CU;1;1;0;;0;;0;;0;CDM;0;G;0;G
71942140;PAL;8;1;0;;0;;0;;0;;0;;0;G
71942140;PC;1;1;0;;0;;0;;0;CDM;0;;0;G
71942140;SU;1;1;0;;0;;0;;0;CDM;0;;0;G
71942150;CU;1;1;0;;0;;0;;0;CDM;0;G;0;G
71942150;PAL;8;1;0;;0;;0;;0;;0;;0;G
71942150;PC;1;1;0;;0;;0;;0;CDM;0;;0;G
71942150;SU;1;1;0;;0;;0;;0;CDM;0;;0;G
71942160;CU;1;1;0;;0;;0;;0;CDM;0;G;0;G
71942160;PAL;8;1;0;;0;;0;;0;;0;;0;G
71942160;PC;1;1;0;;0;;0;;0;CDM;0;;0;G
71942160;SU;1;1;0;;0;;0;;0;CDM;0;;0;G
71942220;CU;1;1;0;;0;;0;;0;CDM;0;G;0;G
71942220;PAL;8;1;0;;0;;0;;0;;0;;0;G
71942220;PC;1;1;0;;0;;0;;0;CDM;0;;0;G
71942220;SU;1;1;0;;0;;0;;0;CDM;0;;0;G
71942250;CU;1;1;0;;0;;0;;0;CDM;0;G;0;G
71942250;PAL;8;1;0;;0;;0;;0;;0;;0;G
71942250;PC;1;1;0;;0;;0;;0;CDM;0;;0;G
71942250;SU;1;1;0;;0;;0;;0;CDM;0;;0;G
