Material,AUn,Numeratr,Denom.,Length,Length.1,Width,Width.1,Height,Height.1,Volume,Volume.1,Gross weight,Gross weight.1,net weight,net weight.1,AUn.1
7006715R,PLR,120,1.0,"1 084,000",MM,"712,000",MM,"172,000",MM,"174,720",CDM,"19 890,000",G,"17 568,000",G,
7006715R,PLU,1 120,1.0,"1 200,000",MM,"1 000,000",MM,"1 354,000",MM,"1,625",M3,"210 640,000",G,"163 968,000",G,
7006715R,PRU,160,1.0,"1 084,000",MM,"882,000",MM,"172,000",MM,"1,644",HL,"26 520,000",G,"23 424,000",G,
7006715R,SU,20,1.0,"441,000",MM,"271,000",MM,"172,000",MM,"24,151",CDM,"3 315,000",G,"2 928,000",G,
7007042B,CU,1,1.0,"95,000",MM,"26,000",MM,"185,000",MM,"0,457",CDM,"31,200",G,"28,600",G,
7007042B,PAL,1 540,1.0,"1 200,000",MM,"800,000",MM,"1 502,000",MM,"1 441,920",CDM,"86 678,000",G,"44 044,000",G,
7007042B,PC,1,4.0,"0,000",,"0,000",,"0,000",,"0,000",CDM,"0,000",,"28,600",G,
7007042B,PLR,220,1.0,"1 200,000",MM,"800,000",MM,"194,000",MM,"186,240",CDM,"8 954,000",G,"6 292,000",G,
7007042B,PLU,1 920,1.0,"1 200,000",MM,"1 000,000",MM,"1 327,000",MM,"1 592,400",CDM,"103 144,000",G,"54 912,000",G,
7007042B,PRU,320,1.0,"1 200,000",MM,"1 000,000",MM,"194,000",MM,"232,800",CDM,"13 024,000",G,"9 152,000",G,
7007042B,SU,20,1.0,"311,000",MM,"206,000",MM,"194,000",MM,"12,429",CDM,"814,000",G,"572,000",G,
7007053B,CU,1,1.0,"95,000",MM,"38,000",MM,"175,000",MM,"0,632",CDM,"70,000",G,"62,500",G,
7007053B,PAL,1 540,1.0,"1 200,000",MM,"800,000",MM,"1 460,000",MM,"1 441,920",CDM,"145 352,000",G,"96 250,000",G,
7007053B,PC,1,8.0,"0,000",,"0,000",,"0,000",,"0,000",CDM,"0,000",,"62,500",G,
7007053B,PCF,1,2.0,"0,000",,"0,000",,"0,000",,"0,000",CDM,"0,000",,"62,500",G,
7007053B,PLR,220,1.0,"1 193,000",MM,"746,000",MM,"188,000",MM,"186,240",CDM,"17 336,000",G,"13 750,000",G,
7007053B,PLU,1 960,1.0,"1 200,000",MM,"1 000,000",MM,"1 466,000",MM,"1,759",M3,"179 448,000",G,"122 500,000",G,
7007053B,PRU,280,1.0,"1 119,000",MM,"988,000",MM,"188,000",MM,"0,208",M3,"22 064,000",G,"17 500,000",G,
7007053B,SU,20,1.0,"373,000",MM,"205,000",MM,"188,000",MM,"15,026",CDM,"1 576,000",G,"1 250,000",G,
7007078C,CU,1,1.0,"49,000",MM,"98,000",MM,"197,000",MM,"0,946",CDM,"105,000",G,"82,000",G,
7007078C,PAL,720,1.0,"1 200,000",MM,"800,000",MM,"1 724,000",MM,"1 655,040",CDM,"99 840,000",G,"59 040,000",G,
7007078C,PC,1,4.0,"0,000",,"0,000",,"0,000",,"0,000",CDM,"0,000",,"82,000",G,
7007078C,PLR,72,1.0,"1 125,000",MM,"715,000",MM,"158,000",MM,"151,680",CDM,"7 584,000",G,"5 904,000",G,
7007078C,PLU,768,1.0,"1 200,000",MM,"1 000,000",MM,"1 414,000",MM,"1 696,800",CDM,"105 896,000",G,"62 976,000",G,
7007078C,PRU,96,1.0,"1 125,000",MM,"915,000",MM,"158,000",MM,"162,641",CDM,"10 112,000",G,"7 872,000",G,
7007078C,SU,6,1.0,"305,000",MM,"205,000",MM,"158,000",MM,"9,879",CDM,"632,000",G,"492,000",G,
7007078G,CU,1,1.0,"98,000",MM,"49,000",MM,"197,000",MM,"0,946",CDM,"79,000",G,"60,000",G,
7007078G,PAL,1 092,1.0,"1 200,000",MM,"800,000",MM,"1 649,000",MM,"1 583,040",CDM,"128 741,000",G,"65 520,000",G,
7007078G,PC,1,4.0,"0,000",,"0,000",,"0,000",,"0,000",CDM,"79,000",G,"60,000",G,
7007078G,PCF,1,1.0,"0,000",,"0,000",,"0,000",,"0,000",CDM,"0,000",,"60,000",G,
7007078G,PLR,156,1.0,"1 200,000",MM,"800,000",MM,"215,000",MM,"206,400",CDM,"14 963,000",G,"9 360,000",G,
7007078G,PLU,1 224,1.0,"1 200,000",MM,"1 000,000",MM,"1 453,000",MM,"1 743,600",CDM,"142 402,000",G,"73 440,000",G,
7007078G,PRU,204,1.0,"1 200,000",MM,"1 000,000",MM,"215,000",MM,"258,000",CDM,"19 567,000",G,"12 240,000",G,
7007078G,SU,12,1.0,"295,000",MM,"220,000",MM,"215,000",MM,"13,954",CDM,"1 151,000",G,"720,000",G,
7007080G,CU,1,1.0,"98,000",MM,"37,000",MM,"197,000",MM,"0,714",CDM,"70,000",G,"63,000",G,
7007080G,PAL,1 260,1.0,"1 200,000",MM,"800,000",MM,"1 642,000",MM,"1 576,320",CDM,"135 000,000",G,"79 380,000",G,
7007080G,PC,1,3.0,"0,000",,"0,000",,"0,000",,"0,000",CDM,"0,000",,"63,000",G,
7007080G,PLR,180,1.0,"1 200,000",MM,"800,000",MM,"224,000",MM,"215,040",CDM,"15 900,000",G,"11 340,000",G,
7007080G,SU,12,1.0,"224,000",MM,"220,000",MM,"214,000",MM,"10,546",CDM,"1 060,000",G,"756,000",G,
70070950,CU,1,1.0,"96,000",MM,"15,500",MM,"111,500",MM,"0,166",CDM,"44,000",G,"36,000",G,
70070950,DU,100,1.0,"505,000",MM,"350,000",MM,"130,000",MM,"22,978",CDM,"4 800,000",G,"3 600,000",G,
70070950,PAL,4 800,1.0,"1 200,000",MM,"800,000",MM,"1 710,000",MM,"1 641,600",CDM,"255 400,000",G,"172 800,000",G,
70070950,PC,1,8.0,"0,000",,"0,000",,"0,000",,"0,000",CDM,"0,000",,"36,000",G,
70070950,PLR,400,1.0,"1 200,000",MM,"800,000",MM,"130,000",MM,"124,800",CDM,"19 200,000",G,"14 400,000",G,
70070950,SU,10,1.0,"173,000",MM,"170,000",MM,"120,000",MM,"3,529",CDM,"440,000",G,"360,000",G,
7007142E,CU,1,1.0,"96,000",MM,"19,000",MM,"112,000",MM,"0,204",CDM,"26,000",G,"17,200",G,
7007142E,DU,200,1.0,"504,000",MM,"392,000",MM,"250,000",MM,"49,392",CDM,"6 685,000",G,"3 440,000",G,
7007142E,PAL,5 600,1.0,"1 200,000",MM,"800,000",MM,"1 894,000",MM,"1 818,240",CDM,"212 180,000",G,"96 320,000",G,
7007142E,PC,1,4.0,"0,000",,"0,000",,"0,000",,"0,000",CDM,"0,000",G,"17,200",G,
